Subject,Start date,All Day Event,Description
Mary Edwards Walker was born.,11/26/1832,true,https://en.wikipedia.org/wiki/Mary_Edwards_Walker
Mary Edwards Walker died.,02/21/1919,true,https://en.wikipedia.org/wiki/Mary_Edwards_Walker
Karolina Widerström was born.,12/10/1856,true,https://en.wikipedia.org/wiki/Karolina_Widerstr%C3%B6m
Karolina Widerström died.,03/04/1949,true,https://en.wikipedia.org/wiki/Karolina_Widerstr%C3%B6m
Mileva Einstein-Maric was born.,12/19/1875,true,https://en.wikipedia.org/wiki/Mileva_Einstein-Maric
Mileva Einstein-Maric died.,08/04/1948,true,https://en.wikipedia.org/wiki/Mileva_Einstein-Maric
Mary Whiton Calkins was born.,03/30/1863,true,https://en.wikipedia.org/wiki/Mary_Whiton_Calkins
Mary Whiton Calkins died.,02/26/1930,true,https://en.wikipedia.org/wiki/Mary_Whiton_Calkins
Jane Addams was born.,09/06/1860,true,https://en.wikipedia.org/wiki/Jane_Addams
Jane Addams died.,05/21/1935,true,https://en.wikipedia.org/wiki/Jane_Addams
Beatrice Webb was born.,01/22/1858,true,https://en.wikipedia.org/wiki/Beatrice_Webb
Beatrice Webb died.,04/30/1943,true,https://en.wikipedia.org/wiki/Beatrice_Webb
Katharine Bartlett was born.,11/30/1907,true,https://en.wikipedia.org/wiki/Katharine_Bartlett
Katharine Bartlett died.,05/22/2001,true,https://en.wikipedia.org/wiki/Katharine_Bartlett
Ruth Benedict was born.,06/05/1887,true,https://en.wikipedia.org/wiki/Ruth_Benedict
Ruth Benedict died.,09/17/1948,true,https://en.wikipedia.org/wiki/Ruth_Benedict
Alicia Dussán de Reichel was born.,10/16/1920,true,https://en.wikipedia.org/wiki/Alicia_Duss%C3%A1n_de_Reichel
Marjorie F. Lambert was born.,06/13/1908,true,https://en.wikipedia.org/wiki/Marjorie_F._Lambert
Marjorie F. Lambert died.,12/16/2006,true,https://en.wikipedia.org/wiki/Marjorie_F._Lambert
Margaret Mead was born.,12/16/1901,true,https://en.wikipedia.org/wiki/Margaret_Mead
Margaret Mead died.,11/15/1978,true,https://en.wikipedia.org/wiki/Margaret_Mead
Camilla Wedgwood was born.,03/25/1901,true,https://en.wikipedia.org/wiki/Camilla_Wedgwood
Camilla Wedgwood died.,05/17/1955,true,https://en.wikipedia.org/wiki/Camilla_Wedgwood
Alba Zaluar was born.,06/02/1942,true,https://en.wikipedia.org/wiki/Alba_Zaluar
Hester A. Davis was born.,06/04/1930,true,https://en.wikipedia.org/wiki/Hester_A._Davis
Hester A. Davis died.,12/30/2014,true,https://en.wikipedia.org/wiki/Hester_A._Davis
Kathleen K. Gilmore was born.,11/12/1914,true,https://en.wikipedia.org/wiki/Kathleen_K._Gilmore
Kathleen K. Gilmore died.,03/18/2010,true,https://en.wikipedia.org/wiki/Kathleen_K._Gilmore
Marija Gimbutas was born.,01/23/1921,true,https://en.wikipedia.org/wiki/Marija_Gimbutas
Marija Gimbutas died.,02/02/1994,true,https://en.wikipedia.org/wiki/Marija_Gimbutas
Wilhelmina Feemster Jashemski was born.,07/10/1910,true,https://en.wikipedia.org/wiki/Wilhelmina_Feemster_Jashemski
Wilhelmina Feemster Jashemski died.,12/24/2007,true,https://en.wikipedia.org/wiki/Wilhelmina_Feemster_Jashemski
Anna Marguerite McCann was born.,05/11/1933,true,https://en.wikipedia.org/wiki/Anna_Marguerite_McCann
Anna Marguerite McCann died.,02/12/2017,true,https://en.wikipedia.org/wiki/Anna_Marguerite_McCann
Margaret Murray died.,11/13/1963,true,https://en.wikipedia.org/wiki/Margaret_Murray
Elisabeth Ruttkay was born.,06/18/1926,true,https://en.wikipedia.org/wiki/Elisabeth_Ruttkay
Elisabeth Ruttkay died.,02/25/2009,true,https://en.wikipedia.org/wiki/Elisabeth_Ruttkay
Pamela Gay was born.,12/12/1973,true,https://en.wikipedia.org/wiki/Pamela_Gay
Vera Fedorovna Gaze was born.,12/29/1899,true,https://en.wikipedia.org/wiki/Vera_Fedorovna_Gaze
Vera Fedorovna Gaze died.,10/03/1954,true,https://en.wikipedia.org/wiki/Vera_Fedorovna_Gaze
Alice Alldredge was born.,02/01/1949,true,https://en.wikipedia.org/wiki/Alice_Alldredge
Agathe L. van Beverwijk was born.,09/11/1907,true,https://en.wikipedia.org/wiki/Agathe_L._van_Beverwijk
Agathe L. van Beverwijk died.,07/10/1963,true,https://en.wikipedia.org/wiki/Agathe_L._van_Beverwijk
Gerty Theresa Cori was born.,08/15/1896,true,https://en.wikipedia.org/wiki/Gerty_Theresa_Cori
Gerty Theresa Cori died.,10/26/1957,true,https://en.wikipedia.org/wiki/Gerty_Theresa_Cori
Gertrude Crotty Davenport was born.,02/28/1866,true,https://en.wikipedia.org/wiki/Gertrude_Crotty_Davenport
Gertrude Crotty Davenport died.,03/08/1946,true,https://en.wikipedia.org/wiki/Gertrude_Crotty_Davenport
Misha Mahowald died.,12/26/1996,true,https://en.wikipedia.org/wiki/Misha_Mahowald
Isabella Preston was born.,09/04/1881,true,https://en.wikipedia.org/wiki/Isabella_Preston
Isabella Preston died.,01/31/1965,true,https://en.wikipedia.org/wiki/Isabella_Preston
Magda Staudinger was born.,08/17/1902,true,https://en.wikipedia.org/wiki/Magda_Staudinger
Magda Staudinger died.,04/21/1997,true,https://en.wikipedia.org/wiki/Magda_Staudinger
